[00:00:56] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/3341, l='ServerLevel[world_the_end]', x=45.30, y=60.00, z=3.30] died: Enderman was slain by suberboy45ds
[00:09:30] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11574, l='ServerLevel[world_the_end]', x=-195.50, y=104.00, z=-1197.50] died: Shulker was slain by suberboy45ds
[00:09:41] [Server thread/INFO]: suberboy45ds has reached the goal [Sky's the Limit]
[00:09:57] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11560, l='ServerLevel[world_the_end]', x=-214.50, y=111.00, z=-1199.50] died: Shulker was shot by suberboy45ds
[00:11:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/11559, l='ServerLevel[world_the_end]', x=-214.50, y=106.00, z=-1195.50] died: Shulker was slain by suberboy45ds
[00:11:44] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/12441, l='ServerLevel[world_the_end]', x=-255.39, y=62.00, z=-1182.36] died: Enderman was slain by suberboy45ds
[00:14:36] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13663, l='ServerLevel[world_the_end]', x=-625.50, y=62.00, z=-3477.50] died: Shulker was slain by suberboy45ds
[00:15:38] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13668, l='ServerLevel[world_the_end]', x=-602.50, y=82.00, z=-3476.50] died: Shulker was slain by suberboy45ds
[00:15:45] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13669, l='ServerLevel[world_the_end]', x=-598.50, y=85.00, z=-3475.50] died: Shulker was slain by suberboy45ds
[00:15:53] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13667, l='ServerLevel[world_the_end]', x=-594.50, y=88.00, z=-3475.50] died: Shulker was slain by suberboy45ds
[00:16:01] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13670, l='ServerLevel[world_the_end]', x=-593.50, y=89.00, z=-3482.50] died: Shulker was slain by suberboy45ds
[00:16:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13671, l='ServerLevel[world_the_end]', x=-593.50, y=89.00, z=-3473.50] died: Shulker was slain by suberboy45ds
[00:17:05] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13662, l='ServerLevel[world_the_end]', x=-619.50, y=87.00, z=-3477.50] died: Shulker was slain by suberboy45ds
[00:18:07] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13672, l='ServerLevel[world_the_end]', x=-596.50, y=110.00, z=-3483.50] died: Shulker was slain by suberboy45ds
[00:18:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13675, l='ServerLevel[world_the_end]', x=-600.50, y=114.00, z=-3479.50] died: Shulker was slain by suberboy45ds
[00:18:44] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13676, l='ServerLevel[world_the_end]', x=-596.50, y=112.00, z=-3485.50] died: Shulker was slain by suberboy45ds
[00:19:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13674, l='ServerLevel[world_the_end]', x=-596.50, y=109.00, z=-3485.50] died: Shulker was slain by suberboy45ds
[00:19:45] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13681, l='ServerLevel[world_the_end]', x=-596.50, y=126.00, z=-3475.50] died: Shulker was slain by suberboy45ds
[00:19:51] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13682, l='ServerLevel[world_the_end]', x=-592.50, y=130.00, z=-3479.50] died: Shulker was slain by suberboy45ds
[00:20:24] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13679, l='ServerLevel[world_the_end]', x=-595.50, y=122.00, z=-3483.50] died: Shulker was slain by suberboy45ds
[00:22:19] [Server thread/INFO]: Named entity EntityShulker['Shulker'/14574, l='ServerLevel[world_the_end]', x=-592.50, y=122.00, z=-3479.50] died: Shulker was slain by suberboy45ds
[00:22:39] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13677, l='ServerLevel[world_the_end]', x=-592.50, y=114.00, z=-3475.50] died: Shulker was slain by Shulker
[00:22:43] [Server thread/INFO]: Named entity EntityShulker['Shulker'/14805, l='ServerLevel[world_the_end]', x=-594.50, y=131.00, z=-3478.50] died: Shulker was slain by suberboy45ds
[00:22:55] [Server thread/INFO]: Named entity EntityShulker['Shulker'/14619, l='ServerLevel[world_the_end]', x=-597.50, y=134.00, z=-3474.50] died: Shulker was slain by suberboy45ds
[00:23:16] [Server thread/INFO]: Named entity EntityShulker['Shulker'/14546, l='ServerLevel[world_the_end]', x=-593.50, y=116.00, z=-3482.50] died: Shulker was slain by suberboy45ds
[00:23:35] [Server thread/INFO]: Named entity EntityShulker['Shulker'/14766, l='ServerLevel[world_the_end]', x=-583.50, y=119.00, z=-3478.50] died: Shulker was slain by suberboy45ds
[00:23:59] [Server thread/INFO]: Named entity EntityShulker['Shulker'/14777, l='ServerLevel[world_the_end]', x=-585.50, y=118.00, z=-3478.50] died: Shulker was slain by suberboy45ds
[00:24:37] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13680, l='ServerLevel[world_the_end]', x=-604.50, y=117.00, z=-3478.50] died: Shulker was slain by suberboy45ds
[00:24:51] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13685, l='ServerLevel[world_the_end]', x=-572.50, y=134.00, z=-3478.50] died: Shulker was slain by suberboy45ds
[00:24:56] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13684, l='ServerLevel[world_the_end]', x=-568.50, y=139.00, z=-3481.50] died: Shulker was slain by suberboy45ds
[00:25:00] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13686, l='ServerLevel[world_the_end]', x=-568.50, y=137.00, z=-3477.50] died: Shulker was slain by suberboy45ds
[00:25:44] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13666, l='ServerLevel[world_the_end]', x=-624.50, y=130.00, z=-3480.50] died: Shulker was slain by suberboy45ds
[00:26:02] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13665, l='ServerLevel[world_the_end]', x=-630.50, y=133.00, z=-3481.50] died: Shulker was slain by suberboy45ds
[00:27:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13831, l='ServerLevel[world_the_end]', x=-525.50, y=123.00, z=-3478.50] died: Shulker was slain by suberboy45ds
[00:29:13] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13660, l='ServerLevel[world_the_end]', x=-537.50, y=129.00, z=-3476.50] died: Shulker was slain by suberboy45ds
[00:29:21] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13661, l='ServerLevel[world_the_end]', x=-540.50, y=127.00, z=-3473.50] died: Shulker was slain by Shulker
[00:29:47] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15485, l='ServerLevel[world_the_end]', x=-544.50, y=125.00, z=-3476.50] died: Shulker was slain by suberboy45ds
[00:30:38] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15746, l='ServerLevel[world_the_end]', x=-321.50, y=62.00, z=-3109.50] died: Shulker was slain by suberboy45ds
[00:31:28] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13896, l='ServerLevel[world_the_end]', x=-323.50, y=61.00, z=-3110.50] died: Shulker was slain by suberboy45ds
[00:31:56] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15751, l='ServerLevel[world_the_end]', x=-316.50, y=63.00, z=-3103.50] died: Shulker was slain by suberboy45ds
[00:32:15] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13897, l='ServerLevel[world_the_end]', x=-320.50, y=71.00, z=-3101.50] died: Shulker was slain by Shulker
[00:33:08] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13904, l='ServerLevel[world_the_end]', x=-316.50, y=95.00, z=-3109.50] died: Shulker was slain by suberboy45ds
[00:33:27] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13910, l='ServerLevel[world_the_end]', x=-291.50, y=94.00, z=-3108.50] died: Shulker was slain by suberboy45ds
[00:34:28] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/15912, l='ServerLevel[world_the_end]', x=-298.08, y=63.00, z=-3102.96] died: Enderman was slain by suberboy45ds
[00:34:42] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/15913, l='ServerLevel[world_the_end]', x=-296.46, y=63.00, z=-3118.69] died: Enderman was slain by suberboy45ds
[00:34:47] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/15925, l='ServerLevel[world_the_end]', x=-278.92, y=61.00, z=-3117.91] died: Enderman was slain by suberboy45ds
[00:35:09] [Server thread/INFO]: Named entity EntityShulker['Shulker'/13909, l='ServerLevel[world_the_end]', x=-293.50, y=91.00, z=-3111.50] died: Shulker was slain by suberboy45ds
[00:36:19] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15636, l='ServerLevel[world_the_end]', x=52.50, y=62.00, z=-3169.50] died: Shulker was slain by suberboy45ds
[00:36:23] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15637, l='ServerLevel[world_the_end]', x=49.50, y=62.00, z=-3169.50] died: Shulker was slain by suberboy45ds
[00:36:27] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/16117, l='ServerLevel[world_the_end]', x=50.43, y=61.00, z=-3168.39] died: Enderman was slain by suberboy45ds
[00:37:04] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15640, l='ServerLevel[world_the_end]', x=54.50, y=85.00, z=-3180.50] died: Shulker was slain by suberboy45ds
[00:37:30] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15641, l='ServerLevel[world_the_end]', x=52.50, y=111.00, z=-3180.50] died: Shulker was slain by suberboy45ds
[00:38:02] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15584, l='ServerLevel[world_the_end]', x=31.50, y=82.00, z=-3164.50] died: Shulker was slain by suberboy45ds
[00:38:10] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15585, l='ServerLevel[world_the_end]', x=27.50, y=85.00, z=-3165.50] died: Shulker was slain by suberboy45ds
[00:38:28] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15583, l='ServerLevel[world_the_end]', x=25.50, y=83.00, z=-3165.50] died: Shulker was slain by suberboy45ds
[00:39:06] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15587, l='ServerLevel[world_the_end]', x=27.50, y=106.00, z=-3167.50] died: Shulker was slain by suberboy45ds
[00:39:12] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15588, l='ServerLevel[world_the_end]', x=23.50, y=110.00, z=-3163.50] died: Shulker was slain by suberboy45ds
[00:39:21] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15592, l='ServerLevel[world_the_end]', x=26.50, y=123.00, z=-3159.50] died: Shulker was shot by suberboy45ds
[00:40:00] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15590, l='ServerLevel[world_the_end]', x=24.50, y=120.00, z=-3161.50] died: Shulker was slain by suberboy45ds
[00:40:06] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15586, l='ServerLevel[world_the_end]', x=27.50, y=106.00, z=-3159.50] died: Shulker was slain by suberboy45ds
[00:40:13] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15589, l='ServerLevel[world_the_end]', x=31.50, y=110.00, z=-3163.50] died: Shulker was slain by suberboy45ds
[00:40:28] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15593, l='ServerLevel[world_the_end]', x=31.50, y=123.00, z=-3167.50] died: Shulker was slain by suberboy45ds
[00:40:39] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15591, l='ServerLevel[world_the_end]', x=27.50, y=120.00, z=-3162.50] died: Shulker was slain by suberboy45ds
[00:42:17] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15595, l='ServerLevel[world_the_end]', x=26.50, y=118.00, z=-3143.50] died: Shulker was slain by suberboy45ds
[00:42:27] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15596, l='ServerLevel[world_the_end]', x=25.50, y=121.00, z=-3139.50] died: Shulker was slain by suberboy45ds
[00:42:34] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15604, l='ServerLevel[world_the_end]', x=32.50, y=125.00, z=-3134.50] died: Shulker was slain by suberboy45ds
[00:42:45] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15598, l='ServerLevel[world_the_end]', x=23.50, y=125.00, z=-3134.50] died: Shulker was slain by suberboy45ds
[00:43:37] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15597, l='ServerLevel[world_the_end]', x=29.50, y=143.00, z=-3137.50] died: Shulker was slain by suberboy45ds
[00:44:21] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15581, l='ServerLevel[world_the_end]', x=27.50, y=101.00, z=-3182.50] died: Shulker was slain by suberboy45ds
[00:44:35] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15579, l='ServerLevel[world_the_end]', x=24.50, y=100.00, z=-3180.50] died: Shulker was slain by suberboy45ds
[00:44:42] [Server thread/INFO]: Named entity EntityShulker['Shulker'/16356, l='ServerLevel[world_the_end]', x=29.50, y=101.00, z=-3174.50] died: Shulker was slain by Shulker
[00:44:59] [Server thread/INFO]: Named entity EntityShulker['Shulker'/16812, l='ServerLevel[world_the_end]', x=27.50, y=105.00, z=-3181.50] died: Shulker was slain by suberboy45ds
[00:45:54] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15582, l='ServerLevel[world_the_end]', x=27.50, y=127.00, z=-3180.50] died: Shulker was slain by suberboy45ds
[00:47:39] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15667, l='ServerLevel[world_the_end]', x=116.50, y=83.00, z=-3166.50] died: Shulker was slain by suberboy45ds
[00:48:08] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15661, l='ServerLevel[world_the_end]', x=97.50, y=90.00, z=-3168.50] died: Shulker was slain by suberboy45ds
[00:48:46] [Server thread/INFO]: Named entity EntityShulker['Shulker'/17078, l='ServerLevel[world_the_end]', x=97.50, y=85.00, z=-3164.50] died: Shulker was slain by suberboy45ds
[00:48:54] [Server thread/INFO]: Named entity EntityShulker['Shulker'/15660, l='ServerLevel[world_the_end]', x=102.50, y=87.00, z=-3161.50] died: Shulker was slain by suberboy45ds
[01:00:35] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/20352, l='ServerLevel[world_the_end]', x=474.41, y=63.00, z=-976.84] died: Enderman was slain by suberboy45ds
[01:00:37] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/20353, l='ServerLevel[world_the_end]', x=472.81, y=62.00, z=-986.29] died: Enderman was slain by suberboy45ds
[01:00:48] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/20350, l='ServerLevel[world_the_end]', x=493.73, y=61.00, z=-966.59] died: Enderman was slain by suberboy45ds
[01:00:48] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/20349, l='ServerLevel[world_the_end]', x=491.38, y=61.00, z=-965.93] died: Enderman was slain by suberboy45ds
[01:04:56] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/22228, l='ServerLevel[world_the_end]', x=-949.23, y=62.00, z=-1356.62] died: Enderman was slain by suberboy45ds
[01:05:02] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/22221, l='ServerLevel[world_the_end]', x=-939.41, y=62.00, z=-1370.21] died: Enderman was slain by suberboy45ds
[01:16:56] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25978, l='ServerLevel[world_the_end]', x=30.50, y=62.00, z=-5698.50] died: Shulker was slain by suberboy45ds
[01:17:00] [Server thread/INFO]: Named entity EntityShulker['Shulker'/26315, l='ServerLevel[world_the_end]', x=30.50, y=62.00, z=-5701.50] died: Shulker was slain by suberboy45ds
[01:17:15] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25977, l='ServerLevel[world_the_end]', x=29.50, y=61.00, z=-5695.50] died: Shulker was slain by suberboy45ds
[01:17:44] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25980, l='ServerLevel[world_the_end]', x=61.50, y=82.00, z=-5699.50] died: Shulker was slain by suberboy45ds
[01:17:54] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25983, l='ServerLevel[world_the_end]', x=65.50, y=85.00, z=-5698.50] died: Shulker was slain by Shulker
[01:18:05] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25979, l='ServerLevel[world_the_end]', x=64.50, y=84.00, z=-5698.50] died: Shulker was slain by suberboy45ds
[01:18:39] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25984, l='ServerLevel[world_the_end]', x=66.50, y=114.00, z=-5705.50] died: Shulker was slain by suberboy45ds
[01:18:45] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25986, l='ServerLevel[world_the_end]', x=70.50, y=118.00, z=-5701.50] died: Shulker was slain by suberboy45ds
[01:19:23] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25985, l='ServerLevel[world_the_end]', x=66.50, y=114.00, z=-5697.50] died: Shulker was slain by suberboy45ds
[01:19:31] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25981, l='ServerLevel[world_the_end]', x=62.50, y=118.00, z=-5701.50] died: Shulker was slain by suberboy45ds
[01:20:30] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25908, l='ServerLevel[world_the_end]', x=35.50, y=82.00, z=-5679.50] died: Shulker was slain by suberboy45ds
[01:20:39] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25907, l='ServerLevel[world_the_end]', x=35.50, y=82.00, z=-5677.50] died: Shulker was slain by Shulker
[01:21:00] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25911, l='ServerLevel[world_the_end]', x=32.50, y=89.00, z=-5670.50] died: Shulker was slain by suberboy45ds
[01:21:52] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25909, l='ServerLevel[world_the_end]', x=32.50, y=87.00, z=-5681.50] died: Shulker was slain by Shulker
[01:22:13] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25910, l='ServerLevel[world_the_end]', x=41.50, y=93.00, z=-5670.50] died: Shulker was slain by Shulker
[01:23:33] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25912, l='ServerLevel[world_the_end]', x=42.50, y=118.00, z=-5673.50] died: Shulker was slain by suberboy45ds
[01:24:20] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25913, l='ServerLevel[world_the_end]', x=34.50, y=118.00, z=-5673.50] died: Shulker was slain by suberboy45ds
[01:24:34] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25914, l='ServerLevel[world_the_end]', x=38.50, y=122.00, z=-5669.50] died: Shulker was slain by suberboy45ds
[01:24:46] [Server thread/INFO]: Named entity EntityShulker['Shulker'/25915, l='ServerLevel[world_the_end]', x=40.50, y=122.00, z=-5670.50] died: Shulker was slain by suberboy45ds
[01:26:00] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/27400, l='ServerLevel[world_the_end]', x=-708.41, y=58.00, z=-5584.82] died: Enderman was slain by suberboy45ds
[01:26:41] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/27487, l='ServerLevel[world_the_end]', x=-744.70, y=60.00, z=-5634.38] died: Enderman was slain by suberboy45ds
[01:28:12] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27457, l='ServerLevel[world_the_end]', x=-1227.50, y=63.00, z=-5377.50] died: Shulker was slain by Shulker
[01:28:29] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27458, l='ServerLevel[world_the_end]', x=-1230.50, y=63.00, z=-5377.50] died: Shulker was slain by suberboy45ds
[01:29:05] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27459, l='ServerLevel[world_the_end]', x=-1228.50, y=92.00, z=-5372.50] died: Shulker was slain by suberboy45ds
[01:30:13] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27430, l='ServerLevel[world_the_end]', x=-1195.50, y=91.00, z=-5371.50] died: Shulker was slain by suberboy45ds
[01:31:20] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27429, l='ServerLevel[world_the_end]', x=-1194.50, y=88.00, z=-5372.50] died: Shulker was slain by suberboy45ds
[01:31:58] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27454, l='ServerLevel[world_the_end]', x=-1227.50, y=87.00, z=-5401.50] died: Shulker was slain by suberboy45ds
[01:32:07] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27455, l='ServerLevel[world_the_end]', x=-1226.50, y=90.00, z=-5405.50] died: Shulker was slain by suberboy45ds
[01:32:17] [Server thread/INFO]: Named entity EntityEndermite['Endermite'/28331, l='ServerLevel[world_the_end]', x=-1231.03, y=86.00, z=-5407.44] died: Endermite was slain by suberboy45ds
[01:33:31] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27453, l='ServerLevel[world_the_end]', x=-1229.50, y=81.00, z=-5397.50] died: Shulker was slain by suberboy45ds
[01:34:20] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27456, l='ServerLevel[world_the_end]', x=-1229.50, y=116.00, z=-5406.50] died: Shulker was slain by suberboy45ds
[01:34:40] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27439, l='ServerLevel[world_the_end]', x=-1204.50, y=107.00, z=-5405.50] died: Shulker was slain by suberboy45ds
[01:34:52] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27440, l='ServerLevel[world_the_end]', x=-1200.50, y=110.00, z=-5404.50] died: Shulker was slain by suberboy45ds
[01:35:11] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27438, l='ServerLevel[world_the_end]', x=-1198.50, y=106.00, z=-5407.50] died: Shulker was slain by suberboy45ds
[01:35:38] [Server thread/INFO]: Named entity EntityShulker['Shulker'/27441, l='ServerLevel[world_the_end]', x=-1200.50, y=132.00, z=-5407.50] died: Shulker was slain by suberboy45ds
[01:37:25] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/29068, l='ServerLevel[world_the_end]', x=-2044.16, y=59.00, z=-5478.59] died: Enderman was slain by suberboy45ds
[01:37:32] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/29070, l='ServerLevel[world_the_end]', x=-2041.10, y=61.00, z=-5491.95] died: Enderman was slain by suberboy45ds
[01:37:35] [Server thread/INFO]: Named entity EntityEnderman['Enderman'/29088, l='ServerLevel[world_the_end]', x=-2036.99, y=62.00, z=-5501.50] died: Enderman was slain by suberboy45ds
[01:38:24] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28883, l='ServerLevel[world_the_end]', x=-2159.50, y=66.00, z=-5659.50] died: Shulker was slain by suberboy45ds
[01:38:27] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28884, l='ServerLevel[world_the_end]', x=-2159.50, y=66.00, z=-5662.50] died: Shulker was slain by suberboy45ds
[01:39:38] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28905, l='ServerLevel[world_the_end]', x=-2164.50, y=95.00, z=-5659.50] died: Shulker was slain by suberboy45ds
[01:39:58] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28913, l='ServerLevel[world_the_end]', x=-2181.50, y=86.00, z=-5660.50] died: Shulker was slain by suberboy45ds
[01:40:04] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28914, l='ServerLevel[world_the_end]', x=-2185.50, y=89.00, z=-5661.50] died: Shulker was slain by suberboy45ds
[01:40:40] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28916, l='ServerLevel[world_the_end]', x=-2185.50, y=110.00, z=-5663.50] died: Shulker was slain by suberboy45ds
[01:41:14] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28926, l='ServerLevel[world_the_end]', x=-2188.50, y=137.00, z=-5665.50] died: Shulker was slain by suberboy45ds
[01:41:28] [Server thread/INFO]: Named entity EntityEndermite['Endermite'/29453, l='ServerLevel[world_the_end]', x=-2183.24, y=137.00, z=-5665.91] died: Endermite was slain by suberboy45ds
[01:43:07] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28925, l='ServerLevel[world_the_end]', x=-2189.50, y=133.00, z=-5664.50] died: Shulker was slain by suberboy45ds
[01:43:30] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28922, l='ServerLevel[world_the_end]', x=-2181.50, y=122.00, z=-5659.50] died: Shulker was slain by suberboy45ds
[01:43:42] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28924, l='ServerLevel[world_the_end]', x=-2185.50, y=126.00, z=-5663.50] died: Shulker was slain by suberboy45ds
[01:43:59] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28917, l='ServerLevel[world_the_end]', x=-2187.50, y=111.00, z=-5656.50] died: Shulker was slain by suberboy45ds
[01:44:02] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28915, l='ServerLevel[world_the_end]', x=-2185.50, y=110.00, z=-5655.50] died: Shulker was slain by suberboy45ds
[01:44:12] [Server thread/INFO]: Named entity EntityShulker['Shulker'/28920, l='ServerLevel[world_the_end]', x=-2188.50, y=117.00, z=-5657.50] died: Shulker was slain by suberboy45ds
